anchor_id,env_name,pos_x,pos_y,pos_z,q_w,q_x,q_y,q_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,has_collided
17,CityEnviron,-19.86892318725586,-21.559112548828125,-21.256675720214844,-0.22884340584278107,0.06699081510305405,-0.004183612763881683,0.9711464643478394,-0.05187469348311424,-1.746644139289856,0.29163485765457153,-0.7272728085517883,1.3741424083709717,0.01067903358489275,False
18,CityEnviron,-19.825796127319336,-23.223907470703125,-22.011598587036133,-0.2285582721233368,0.01599784754216671,-0.10738159716129303,0.9674577116966248,-0.6235600113868713,0.45278283953666687,-1.9494813680648804,1.8032209873199463,0.2539643943309784,-0.006469627842307091,False
19,CityEnviron,-19.53702735900879,-22.478158950805664,-23.266775131225586,-0.20077745616436005,0.019881753250956535,0.06512222439050674,0.9772677421569824,0.8505794405937195,0.0814310684800148,-0.4977591633796692,-0.9540555477142334,-0.3049667775630951,0.0003525676147546619,False
20,CityEnviron,-19.65092658996582,-22.45600700378418,-23.83045768737793,-0.2196447253227234,0.04042845591902733,0.0647643581032753,0.9725879430770874,-1.0892640352249146,-0.8700128793716431,0.048528335988521576,-0.9145807027816772,1.5838124752044678,0.019257012754678726,False
21,CityEnviron,-20.827707290649414,-22.466781616210938,-24.201387405395508,-0.20947742462158203,-0.08979097753763199,-0.03655557706952095,0.9729956388473511,-0.3652941882610321,1.0384299755096436,0.24548247456550598,1.5406217575073242,-1.8370150327682495,0.005834387149661779,False
22,CityEnviron,-21.10073471069336,-21.093236923217773,-24.699045181274414,-0.22119532525539398,0.03640551120042801,0.08979093283414841,0.9704045057296753,-0.5535308718681335,0.20925283432006836,-0.16305652260780334,-0.5550435781478882,0.8574373126029968,0.010655256919562817,False
23,CityEnviron,-20.43587303161621,-20.40919303894043,-25.37620735168457,-0.2300390899181366,0.023019084706902504,0.039226945489645004,0.9721180200576782,1.1529557704925537,0.5774573683738708,0.016785401850938797,-0.4921499192714691,-0.8090997934341431,0.001000617048703134,False
24,CityEnviron,-20.926725387573242,-20.275983810424805,-25.835952758789062,-0.22350087761878967,0.02418784610927105,0.008405333384871483,0.9743673205375671,-1.5228536128997803,-0.19403386116027832,0.5087711215019226,0.27060025930404663,1.5882740020751953,-0.004566594958305359,False
25,CityEnviron,-21.972320556640625,-19.621973037719727,-26.556884765625,-0.20993922650814056,-0.04808564484119415,0.06012031435966492,0.9746788144111633,0.1000438779592514,0.6089725494384766,-0.3796594738960266,-0.35517218708992004,-0.567507803440094,-0.0026909199077636003,False
26,CityEnviron,-20.62662124633789,-19.72040557861328,-26.701292037963867,-0.21108478307724,-0.0033021066337823868,0.013214267790317535,0.9773728847503662,2.0997653007507324,-0.6770159602165222,-0.045637115836143494,-1.0702861547470093,-1.387353777885437,-0.012670096941292286,False
